actual_child,actual_path,path_parent
n/a,4-3-2/15.5.5,4-3-2/15.5
survey,4-3-2/15.7,4-3-2/15
survey,4-3-2/15.9.1,4-3-2/15.9
survey,4-3-2/15.9.2,4-3-2/15.9
survey,4-3-2/15.9.3,4-3-2/15.9
general,4-3-2/16,4-3-2/16
n/a,4-3-2/17,4-3-2/17
n/a,4-3-2/17.1,4-3-2/17
propeller,4-3-2/17.3,4-3-2/17
n/a,4-3-2/17.5,4-3-2/17
n/a,4-3-2/17.7.1,4-3-2/17.7
general,4-3-2/17.9.1,4-3-2/17.9
general,4-3-2/17.9.2,4-3-2/17.9
general,4-3-2/17.9.3,4-3-2/17.9
general,4-3-2/17.9.4,4-3-2/17.9
general,4-3-2/17.9.5,4-3-2/17.9
shaft seal,4-3-2/17.9.6,4-3-2/17.9
propulsion shaft,4-3-2/17.9.7,4-3-2/17.9
coupling bolt,4-3-2/17.9.8,4-3-2/17.9
general,4-3-2/17.9.9,4-3-2/17.9
n/a,4-3-2/17.9.10,4-3-2/17.9
general,4-3-2/17.9.11,4-3-2/17.9
n/a,4-3-2/17.11,4-3-2/17
survey,4-3-2/17.13,4-3-2/17
survey,4-3-2/17.15.1,4-3-2/17.15
survey,4-3-2/17.15.2,4-3-2/17.15
